               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11994,            0.026065,                   0,            0.014864,             0.08046,           0.0064772,           0.0014471,             0.11058,            0.017346,                   0,               0.091,               0.001,               0.001
                   1,             0.10049,            0.028939,                   0,            0.049022,             0.18391,            0.023916,           0.0065617,            0.079101,            0.020046,                   0,            0.081058,           0.0020584,           0.0020584
                   2,            0.084545,            0.032427,                   0,               0.433,             0.42529,             0.35466,             0.13345,              0.0669,            0.018635,                   0,            0.071073,           0.0030733,           0.0030733
                   3,            0.074851,            0.029745,                   0,             0.41025,             0.55172,             0.37809,             0.15451,            0.060921,            0.017171,                   0,            0.061045,           0.0040446,           0.0040446
                   4,            0.066316,            0.028335,                   0,             0.36488,             0.32184,             0.34926,            0.093408,            0.072376,            0.020542,                   0,            0.050972,           0.0049723,           0.0049723
