               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11089,            0.031471,            0.029656,           0.0051388,             0.51606,           0.0097033,           0.0022514,            0.096535,            0.023629,            0.026616,              0.0865,              0.0015,              0.0015
                   1,            0.090862,            0.037791,            0.025811,              0.1806,             0.18018,             0.16561,            0.052162,            0.078128,            0.024141,            0.019746,            0.072039,           0.0030386,           0.0030386
                   2,            0.076617,            0.036512,            0.019911,             0.69672,             0.20721,             0.21898,            0.074134,            0.073453,            0.021692,            0.014346,            0.057514,           0.0045139,           0.0045139
                   3,            0.070707,            0.033539,            0.017284,             0.17988,              0.5813,             0.23506,            0.068452,             0.07821,            0.020936,            0.011213,            0.042926,           0.0059258,           0.0059258
                   4,            0.068428,            0.030144,            0.015051,             0.23969,             0.42577,             0.25617,            0.093853,            0.074098,            0.018338,           0.0087075,            0.028274,           0.0072743,           0.0072743
                   5,            0.070432,            0.029531,            0.012726,             0.34345,             0.45494,             0.37999,             0.15022,            0.071172,            0.015574,           0.0071194,             0.01356,           0.0085595,           0.0085595
                   6,             0.06986,            0.028201,            0.010048,             0.29645,               0.415,             0.29026,            0.081113,            0.073688,            0.014887,           0.0062694,            0.008812,            0.008812,            0.008812
                   7,            0.065587,            0.027414,           0.0087722,             0.35936,             0.37172,             0.34241,             0.12022,            0.071345,            0.014503,              0.0051,            0.008812,            0.008812,            0.008812
                   8,            0.063008,            0.026633,           0.0075711,             0.38652,             0.45672,             0.40531,             0.13642,            0.067064,            0.015178,           0.0046023,            0.008614,            0.008614,            0.008614
                   9,             0.06007,             0.02911,            0.006451,             0.37803,             0.59322,             0.41135,             0.17956,            0.062415,            0.014684,           0.0046535,            0.008416,            0.008416,            0.008416
                  10,            0.057807,            0.027542,            0.005133,             0.41834,             0.67729,               0.472,              0.1929,            0.057776,            0.014587,           0.0051629,            0.008218,            0.008218,            0.008218
                  11,            0.053805,            0.026545,           0.0055212,             0.46196,             0.59534,             0.51717,             0.21057,            0.057825,            0.014254,           0.0052294,             0.00802,             0.00802,             0.00802
                  12,            0.052591,            0.025426,           0.0052921,             0.53408,             0.62721,              0.6228,             0.24672,            0.055812,            0.014268,           0.0047027,            0.007822,            0.007822,            0.007822
                  13,            0.050655,            0.025033,           0.0050238,             0.64466,             0.59068,             0.64157,             0.28487,            0.052873,            0.014649,           0.0043555,            0.007624,            0.007624,            0.007624
                  14,            0.048561,            0.025843,           0.0044382,             0.59242,             0.63474,             0.61065,             0.25068,            0.052571,             0.01465,           0.0047796,            0.007426,            0.007426,            0.007426
                  15,            0.049648,            0.025053,           0.0044709,             0.60824,               0.659,             0.61979,             0.26067,            0.052786,            0.014637,           0.0045426,            0.007228,            0.007228,            0.007228
                  16,             0.04804,            0.026478,            0.004177,             0.59675,             0.64473,             0.60721,              0.2756,            0.051808,            0.015191,           0.0039093,             0.00703,             0.00703,             0.00703
                  17,            0.047977,            0.025022,           0.0031532,             0.65805,             0.67503,             0.68148,             0.29694,            0.051648,            0.015329,           0.0055213,            0.006832,            0.006832,            0.006832
                  18,            0.044719,            0.024173,           0.0038286,             0.62264,             0.65374,             0.65644,             0.30772,            0.048887,            0.015559,           0.0046228,            0.006634,            0.006634,            0.006634
                  19,            0.045493,            0.024044,           0.0028097,             0.66427,             0.68899,             0.68498,             0.28803,            0.050284,            0.015088,            0.005071,            0.006436,            0.006436,            0.006436
                  20,            0.045937,            0.024943,           0.0028824,             0.72366,             0.71974,             0.74051,             0.31266,            0.048546,            0.014937,            0.005233,            0.006238,            0.006238,            0.006238
                  21,            0.044195,            0.024036,           0.0026955,             0.67127,             0.68779,             0.71849,             0.30216,            0.047942,            0.015268,           0.0040993,             0.00604,             0.00604,             0.00604
                  22,            0.042399,            0.025629,           0.0031949,             0.72024,             0.71887,             0.73654,              0.3205,            0.047728,             0.01498,           0.0047125,            0.005842,            0.005842,            0.005842
                  23,             0.04123,            0.023854,           0.0024998,             0.69582,             0.71956,             0.71408,              0.3136,             0.04769,            0.015232,           0.0042581,            0.005644,            0.005644,            0.005644
                  24,            0.042472,            0.024286,           0.0030252,             0.71529,             0.70464,             0.70565,              0.3333,             0.04653,            0.015297,           0.0040507,            0.005446,            0.005446,            0.005446
                  25,            0.041182,            0.024283,           0.0030398,             0.75517,             0.69546,             0.75695,             0.34355,            0.045772,            0.015025,           0.0038643,            0.005248,            0.005248,            0.005248
                  26,            0.040874,            0.024094,           0.0025475,             0.73708,             0.73776,              0.7689,             0.32907,            0.046337,            0.014517,           0.0037171,             0.00505,             0.00505,             0.00505
                  27,            0.039487,            0.023915,             0.00281,             0.72488,             0.73325,             0.75291,               0.346,            0.045018,            0.014814,           0.0037866,            0.004852,            0.004852,            0.004852
                  28,            0.038416,            0.023338,           0.0030249,             0.76792,             0.73199,             0.77982,             0.35291,            0.044437,            0.014918,           0.0034508,            0.004654,            0.004654,            0.004654
                  29,            0.038907,            0.023694,           0.0036478,             0.74287,             0.75156,             0.76873,             0.34138,            0.044707,            0.015144,           0.0035976,            0.004456,            0.004456,            0.004456
                  30,            0.038601,            0.023991,           0.0021439,             0.74938,             0.71974,             0.72965,             0.32962,            0.045298,            0.015624,           0.0045043,            0.004258,            0.004258,            0.004258
                  31,            0.037375,            0.023127,           0.0019349,              0.7414,             0.72797,              0.7188,             0.33876,            0.044669,            0.015674,           0.0044728,             0.00406,             0.00406,             0.00406
                  32,            0.036505,            0.023207,           0.0020976,             0.77624,             0.72564,              0.7483,             0.33907,            0.044385,            0.015633,           0.0045557,            0.003862,            0.003862,            0.003862
                  33,            0.038877,            0.022741,             0.00191,             0.79339,             0.70885,             0.75336,             0.35582,            0.044269,            0.015472,           0.0047051,            0.003664,            0.003664,            0.003664
