               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  34,            0.037256,            0.022864,           0.0023121,             0.79488,             0.67276,             0.72361,             0.34724,            0.043917,            0.015805,           0.0049011,            0.003466,            0.003466,            0.003466
                  35,            0.036336,            0.022855,           0.0018458,             0.76683,             0.68096,             0.71609,             0.32841,            0.044717,            0.016159,           0.0047212,            0.003268,            0.003268,            0.003268
                  36,            0.035935,            0.022956,           0.0018915,             0.75379,             0.70897,             0.72798,             0.34258,            0.044075,            0.015881,           0.0045306,             0.00307,             0.00307,             0.00307
                  37,            0.034074,            0.021637,           0.0022307,              0.7791,             0.70368,              0.7586,             0.36016,            0.043796,            0.015688,           0.0041995,            0.002872,            0.002872,            0.002872
                  38,            0.034354,            0.021319,           0.0014741,              0.7652,             0.70094,             0.75125,             0.37019,            0.043613,            0.015653,           0.0039338,            0.002674,            0.002674,            0.002674
                  39,            0.034297,            0.021545,           0.0022787,             0.76813,             0.72797,             0.74096,             0.36809,            0.043323,            0.015463,           0.0042109,            0.002476,            0.002476,            0.002476
                  40,            0.034754,            0.021991,           0.0015243,             0.74434,             0.72972,             0.73752,             0.35881,            0.043872,            0.015377,           0.0044038,            0.002278,            0.002278,            0.002278
                  41,            0.033395,            0.022562,           0.0015218,             0.71538,             0.71798,             0.72422,             0.35835,            0.044117,            0.015245,           0.0048919,             0.00208,             0.00208,             0.00208
                  42,            0.033698,            0.022484,           0.0012599,             0.74258,             0.73428,             0.73032,             0.36205,            0.044462,            0.015456,           0.0046887,            0.001882,            0.001882,            0.001882
                  43,            0.032987,            0.022829,           0.0016335,             0.75576,              0.7262,             0.75806,             0.36779,            0.043765,            0.015666,            0.004601,            0.001684,            0.001684,            0.001684
                  44,            0.032876,            0.021245,           0.0016814,             0.78178,             0.72513,             0.76971,             0.37553,            0.043618,            0.015705,           0.0045855,            0.001486,            0.001486,            0.001486
                  45,            0.032058,            0.022007,           0.0014975,             0.78614,             0.69095,             0.75321,             0.37226,            0.043447,            0.015644,           0.0046917,            0.001288,            0.001288,            0.001288
                  46,            0.032321,            0.020403,           0.0014755,             0.73555,             0.74599,             0.74793,             0.37445,            0.043312,            0.015571,           0.0046454,             0.00109,             0.00109,             0.00109
                  47,            0.030721,            0.020022,           0.0018858,             0.75518,             0.76048,              0.7583,              0.3777,            0.043039,             0.01553,           0.0047373,            0.000892,            0.000892,            0.000892
                  48,             0.03227,            0.021714,           0.0016024,             0.74515,             0.76129,             0.76487,             0.38122,            0.042766,            0.015445,           0.0048191,            0.000694,            0.000694,            0.000694
                  49,            0.031297,            0.020661,           0.0013256,             0.72592,             0.75277,             0.75424,             0.38084,            0.042809,            0.015407,           0.0049148,            0.000496,            0.000496,            0.000496
