               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11867,            0.026243,                   0,            0.013642,              0.2967,            0.015973,           0.0036638,             0.10297,            0.016875,                   0,              0.0901,              0.0011,              0.0011
                   1,            0.093618,            0.030412,                   0,            0.023662,             0.82418,            0.063099,             0.01898,            0.076065,            0.018964,                   0,            0.079254,           0.0022545,           0.0022545
                   2,            0.079257,            0.035277,                   0,             0.29134,             0.56044,             0.27844,            0.085352,            0.071803,            0.016002,                   0,            0.068361,           0.0033614,           0.0033614
                   3,            0.072139,            0.030908,                   0,             0.43263,             0.48352,             0.39883,             0.12174,            0.061304,            0.018321,                   0,            0.057421,           0.0044208,           0.0044208
                   4,            0.067428,            0.030145,                   0,             0.51944,             0.61538,             0.55759,             0.17282,             0.06258,            0.016252,                   0,            0.046433,           0.0054327,           0.0054327
                   5,            0.065787,            0.025639,                   0,             0.38096,             0.62637,             0.42332,             0.15872,            0.060511,            0.013513,                   0,            0.035397,           0.0063971,           0.0063971
                   6,            0.061555,            0.026124,                   0,             0.43878,             0.79904,             0.46937,             0.19165,            0.058245,            0.012572,                   0,            0.024314,            0.007314,            0.007314
                   7,            0.061787,             0.02533,                   0,             0.44471,             0.68647,             0.55097,             0.18371,             0.05981,            0.011487,                   0,            0.013183,           0.0081833,           0.0081833
                   8,            0.058187,            0.023923,                   0,             0.63807,             0.61997,             0.66986,             0.33085,            0.052677,            0.011029,                   0,            0.008416,            0.008416,            0.008416
                   9,            0.058659,            0.025427,                   0,             0.67175,              0.8022,             0.80659,             0.38046,            0.046803,            0.010826,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.052899,             0.02276,                   0,             0.66933,             0.82418,              0.7848,             0.42997,            0.046854,            0.010541,                   0,            0.008218,            0.008218,            0.008218
                  11,             0.05073,            0.022432,                   0,             0.64836,             0.79021,             0.77585,             0.38863,            0.048858,            0.010783,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.049289,            0.022647,                   0,             0.64564,             0.64071,             0.69737,             0.30514,            0.046338,            0.010756,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.047037,            0.021499,                   0,             0.72818,             0.76923,             0.81238,             0.41516,            0.041746,            0.010095,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.046359,            0.024594,                   0,             0.69096,             0.79121,             0.80779,             0.37978,            0.040747,             0.01033,                   0,            0.007426,            0.007426,            0.007426
                  15,             0.04788,            0.021769,                   0,             0.79045,             0.78763,             0.85013,             0.42187,            0.043215,            0.010236,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.045779,            0.021501,                   0,             0.65521,             0.78022,             0.76108,             0.38158,            0.042366,           0.0098204,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.041811,            0.022262,                   0,             0.85765,              0.8022,             0.88991,             0.45977,            0.041958,           0.0096609,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.040965,            0.019542,                   0,             0.86873,             0.81319,             0.91317,             0.48945,            0.039641,           0.0095429,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.038798,            0.020565,                   0,             0.86513,             0.77539,             0.88855,             0.45318,            0.039602,           0.0097173,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.040094,            0.020796,                   0,             0.79891,             0.89011,             0.89115,             0.49534,            0.040539,           0.0096843,                   0,            0.006238,            0.006238,            0.006238
                  21,             0.03942,            0.022653,                   0,              0.8045,             0.90442,             0.91737,             0.52523,            0.039133,           0.0095183,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.035927,            0.018479,                   0,             0.83068,              0.9011,             0.92425,             0.50365,            0.037994,           0.0097077,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.038838,            0.020187,                   0,              0.7766,              0.9011,             0.87673,             0.44436,            0.039107,            0.009763,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.036253,            0.021036,                   0,             0.76696,             0.86798,             0.88648,             0.49704,            0.037886,           0.0099457,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.037487,            0.019127,                   0,             0.84442,             0.78022,             0.88844,             0.49996,            0.036735,           0.0099324,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.037934,            0.021906,                   0,             0.88609,              0.8022,             0.91017,             0.54033,            0.035716,           0.0097794,                   0,             0.00505,             0.00505,             0.00505
                  27,            0.034702,             0.01876,                   0,             0.82234,             0.92308,             0.93196,             0.54916,            0.036816,           0.0095611,                   0,            0.004852,            0.004852,            0.004852
                  28,            0.034123,            0.020273,                   0,             0.84222,             0.93854,             0.92379,             0.53294,            0.033975,           0.0097654,                   0,            0.004654,            0.004654,            0.004654
                  29,            0.033256,            0.019734,                   0,             0.83227,             0.92697,             0.92612,             0.54823,            0.035297,           0.0097532,                   0,            0.004456,            0.004456,            0.004456
                  30,            0.030835,            0.018342,                   0,             0.83975,             0.91209,             0.92253,             0.53953,            0.033424,            0.009972,                   0,            0.004258,            0.004258,            0.004258
                  31,            0.032149,            0.020064,                   0,              0.8373,             0.91209,             0.92532,             0.55201,            0.034103,             0.01007,                   0,             0.00406,             0.00406,             0.00406
                  32,            0.032535,            0.018491,                   0,             0.79898,             0.93407,             0.91326,             0.54403,            0.033827,            0.010151,                   0,            0.003862,            0.003862,            0.003862
                  33,            0.032101,            0.019173,                   0,             0.86899,             0.83516,             0.91505,             0.55216,             0.03262,            0.010178,                   0,            0.003664,            0.003664,            0.003664
                  34,             0.03112,            0.017395,                   0,             0.90603,             0.83516,             0.91449,             0.54471,            0.034127,            0.010201,                   0,            0.003466,            0.003466,            0.003466
                  35,            0.030689,             0.01882,                   0,              0.9072,             0.86813,             0.92002,             0.54172,            0.035103,            0.010115,                   0,            0.003268,            0.003268,            0.003268
                  36,               0.031,            0.018942,                   0,             0.90344,             0.82251,             0.91309,             0.56071,            0.035026,            0.010173,                   0,             0.00307,             0.00307,             0.00307
                  37,            0.029813,            0.018625,                   0,             0.81845,             0.89011,             0.90349,             0.54271,            0.035545,             0.01027,                   0,            0.002872,            0.002872,            0.002872
                  38,            0.030086,            0.018742,                   0,             0.82243,             0.89011,             0.90224,             0.54647,            0.035686,            0.010344,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.029647,            0.019333,                   0,             0.86072,             0.85714,             0.89994,             0.55493,            0.034818,            0.010321,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.029193,            0.018358,                   0,              0.8177,             0.88728,             0.90326,             0.55168,            0.035124,             0.01048,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.029117,            0.019058,                   0,             0.82588,             0.88611,             0.90121,             0.54586,            0.034611,            0.010601,                   0,             0.00208,             0.00208,             0.00208
                  42,             0.03021,             0.01691,                   0,             0.83383,             0.88232,              0.9012,             0.54353,            0.034284,            0.010619,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.030276,            0.016659,                   0,             0.83284,               0.876,              0.9142,             0.54784,            0.033715,            0.010307,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.027898,            0.018553,                   0,              0.9001,             0.81319,             0.90968,             0.54457,            0.033572,            0.010234,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.027039,            0.017835,                   0,             0.88602,             0.82418,             0.90263,             0.54701,            0.033221,            0.010015,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.027648,            0.017812,                   0,             0.88358,             0.82418,             0.91262,              0.5537,            0.032589,            0.009972,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.029262,            0.016764,                   0,             0.87903,             0.82418,             0.90502,              0.5524,            0.033166,           0.0099433,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.027012,            0.017902,                   0,             0.89179,             0.83516,             0.91628,             0.55333,            0.032653,           0.0099558,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.028719,            0.018298,                   0,             0.89168,             0.83516,              0.9134,             0.55494,            0.032731,            0.010047,                   0,            0.000496,            0.000496,            0.000496
