               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.032124,            0.021294,          0.00062978,             0.85243,             0.88349,             0.93272,             0.57901,            0.032197,            0.008384,          0.00060681,             0.00307,             0.00307,             0.00307
                  37,            0.031284,            0.018643,          0.00059954,             0.86085,             0.85882,             0.93457,             0.58889,            0.031518,           0.0083175,          0.00058645,            0.002872,            0.002872,            0.002872
                  38,            0.033174,             0.01948,          0.00059255,             0.88731,             0.83375,             0.93071,             0.60559,            0.031291,           0.0086035,          0.00058809,            0.002674,            0.002674,            0.002674
                  39,            0.031614,            0.019492,          0.00056859,             0.86835,             0.85363,             0.93152,             0.60245,            0.031281,           0.0086196,          0.00057276,            0.002476,            0.002476,            0.002476
                  40,            0.030463,            0.018891,          0.00054209,              0.8709,             0.84706,              0.9339,             0.58755,            0.031825,           0.0084858,          0.00054865,            0.002278,            0.002278,            0.002278
                  41,            0.030853,            0.019544,          0.00055567,             0.85965,             0.86477,             0.93103,             0.59757,            0.031281,           0.0083381,          0.00051937,             0.00208,             0.00208,             0.00208
                  42,            0.032297,            0.019226,          0.00048004,             0.85355,             0.87059,             0.92697,             0.58924,            0.031658,           0.0083789,          0.00049882,            0.001882,            0.001882,            0.001882
                  43,            0.029136,            0.018022,          0.00045941,             0.87791,             0.84706,             0.92569,             0.59799,            0.030754,           0.0083324,          0.00048238,            0.001684,            0.001684,            0.001684
                  44,            0.027589,            0.017735,          0.00043002,             0.87565,             0.82845,             0.92778,             0.61296,             0.03089,           0.0083357,          0.00047413,            0.001486,            0.001486,            0.001486
                  45,            0.029499,            0.017588,          0.00043439,             0.83356,             0.87059,              0.9206,             0.59949,            0.031243,           0.0084076,          0.00046553,            0.001288,            0.001288,            0.001288
                  46,            0.028872,            0.018854,          0.00041656,             0.83522,             0.87059,             0.93131,              0.5931,             0.03175,           0.0084398,          0.00044778,             0.00109,             0.00109,             0.00109
                  47,            0.028403,            0.016538,          0.00038153,             0.79877,             0.89412,             0.92592,             0.59339,            0.031529,           0.0084404,          0.00042641,            0.000892,            0.000892,            0.000892
                  48,            0.027003,            0.017709,          0.00039171,             0.82406,             0.89412,             0.92334,             0.60086,            0.030957,           0.0084378,          0.00042324,            0.000694,            0.000694,            0.000694
                  49,            0.026845,            0.017389,           0.0003752,             0.82225,             0.87077,              0.9234,             0.60442,            0.031178,           0.0085168,             0.00042,            0.000496,            0.000496,            0.000496
